country,crm_id,customer_name,segment_name,segment_code,tier,product_level1,product_level2,product_code,service_level,charge_code,charge_currency,computation_method,ecp_usd,esp_usd,FY23_fee_in_usd,FY23_volume,FY24_fee_in_usd,FY24_volume,Cash_revenue_bin,CIB_revenue_bin,avg_cp_at_country,avg_cp_at_cash_bin,avg_cp_at_cib_rev_bin,avg_cp_at_seg,avg_cp_at_tier,avg_cp_at_wa_volume
JP,CRM000060,Customer_0060,Banks,600,Platinum,Clearing,CASH,CAPCLECASPRMB2,PRM,CHG0060,JPY,flat absolute,1.8998,1.8806,24465.62,12878,921.4,485,0-10K,>5M,0.7375,0.7955,0.684,0.5304,0.4955,0.8411
DE,CRM000061,Customer_0061,Global Corporates,500,Gold,Payments,BT,CAPPAYBTVIPB3,IPB,CHG0061,USD,Fixed flat,0.5218,0.5307,757.65,1452,2310.53,4428,>2M,2M-5M,0.5434,0.5707,0.6061,0.6721,0.3883,0.7126
DE,CRM000062,Customer_0062,Global Corporates,500,Gold,Clearing,CASH,CAPCLECASPRMB2,PRM,CHG0062,EUR,Fixed flat,0.7393,0.7343,1667.86,2256,3758.6,5084,>2M,500K-2M,0.5434,0.7955,0.6061,0.6721,0.3883,0.3796
DE,CRM000063,Customer_0063,Global Corporates,500,Gold,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0063,SGD,flat absolute,0.3186,0.3124,180.65,567,4007.67,12579,>2M,500K-2M,0.5434,0.3234,0.684,0.6721,0.3883,0.5659
JP,CRM000064,Customer_0064,Traders & Buyers,460,Platinum,Payments,Pay,CAPPAYPAYPRMB2,PRM,CHG0064,EUR,flat absolute,0.446,0.4441,220.77,495,19671.28,44106,600K-2M,100K-500K,0.7375,0.7955,0.5063,0.8296,0.4955,0.7873
JP,CRM000065,Customer_0065,Traders & Buyers,460,Silver,Payments,CASH,CAPPAYCASVIPB3,VIP,CHG0065,EUR,flat absolute,2.5564,2.5951,25778.74,10084,1375.34,538,>2M,100K-500K,0.7375,0.6654,0.8946,0.8296,0.7187,0.4326
AU,CRM000066,Customer_0066,Middle Market,300,Platinum,Collections,CASH,CAPCOLCASSTDB1,STD,CHG0066,USD,flat absolute,0.5872,0.5973,13385.81,22796,1986.5,3383,0-10K,100K-500K,0.4671,0.6654,0.8946,0.7644,0.4955,0.7836
DE,CRM000067,Customer_0067,Global Corporates,500,Portfolio,Clearing,Clearing,CAPCLECLEPRMB2,PRM,CHG0067,USD,flat absolute,1.0938,1.0905,2925.92,2675,2703.87,2472,0-10K,500K-2M,0.5434,0.6654,0.5063,0.6721,0.6108,0.7296
AU,CRM000068,Customer_0068,Middle Market,300,Gold,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0068,USD,Fixed flat,0.3797,0.3816,5099.37,13430,2537.16,6682,10K-200K,500K-2M,0.4671,0.7955,0.5063,0.7644,0.3883,0.7831
JP,CRM000069,Customer_0069,Banks,600,Portfolio,Collections,CO,CAPCOLCOSTDB1,TDB,CHG0069,USD,flat absolute,0.5694,0.5725,2919.31,5127,2803.73,4924,600K-2M,500K-2M,0.7375,0.7955,0.6061,0.5304,0.6108,0.7412
DE,CRM000070,Customer_0070,Global Corporates,500,Portfolio,Liquidity,CASH,CAPLIQCASVIPB3,VIP,CHG0070,USD,flat absolute,0.8761,0.8685,991.75,1132,1946.69,2222,600K-2M,2M-5M,0.5434,0.6654,0.684,0.6721,0.6108,0.7336
JP,CRM000071,Customer_0071,Banks,600,Platinum,Payments,BT,CAPPAYBTPRMB2,RMB,CHG0071,EUR,Fixed flat,0.6482,0.6563,3322.67,5126,1272.42,1963,0-10K,100K-500K,0.7375,0.6343,0.6061,0.5304,0.4955,0.7506
AU,CRM000072,Customer_0072,Middle Market,300,Portfolio,Payments,BT,CAPPAYBTSTDB1,TDB,CHG0072,USD,Fixed flat,1.1327,1.1319,33916.44,29943,863.12,762,0-10K,0-100K,0.4671,0.6654,0.8946,0.7644,0.6108,0.6568
JP,CRM000073,Customer_0073,Traders & Buyers,460,Platinum,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0073,EUR,flat absolute,0.361,0.3554,1019.46,2824,5239.92,14515,0-10K,>5M,0.7375,0.6343,0.5063,0.8296,0.4955,0.7431
AU,CRM000074,Customer_0074,Middle Market,300,Silver,Payments,Pay,CAPPAYPAYSTDB1,STD,CHG0074,EUR,Fixed flat,0.6187,0.6254,19279.93,31162,4283.88,6924,200K-600K,100K-500K,0.4671,0.6654,0.6061,0.7644,0.7187,0.5792
JP,CRM000075,Customer_0075,Banks,600,Silver,Payments,BT,CAPPAYBTSTDB1,TDB,CHG0075,USD,Fixed flat,0.5054,0.5121,29.31,58,6650.56,13159,10K-200K,2M-5M,0.7375,0.3234,0.6061,0.5304,0.7187,0.432
DE,CRM000076,Customer_0076,Global Corporates,500,Gold,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0076,JPY,flat absolute,0.4934,0.5023,5046.0,10227,1162.94,2357,10K-200K,>5M,0.5434,0.5707,0.5526,0.6721,0.3883,0.6373
AU,CRM000077,Customer_0077,Middle Market,300,Gold,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0077,USD,flat absolute,0.586,0.5749,1990.06,3396,850.29,1451,>2M,2M-5M,0.4671,0.6654,0.6061,0.7644,0.3883,0.8239
DE,CRM000078,Customer_0078,Global Corporates,500,Gold,Payments,CASH,CAPPAYCASSTDB1,STD,CHG0078,EUR,flat absolute,0.9541,0.953,1815.65,1903,767.1,804,>2M,>5M,0.5434,0.6343,0.5063,0.6721,0.3883,0.5095
JP,CRM000079,Customer_0079,Traders & Buyers,460,Portfolio,Clearing,Clearing,CAPCLECLEVIPB3,VIP,CHG0079,JPY,Fixed flat,1.0986,1.0815,3757.21,3420,6610.28,6017,600K-2M,2M-5M,0.7375,0.7955,0.684,0.8296,0.6108,0.6091
JP,CRM000080,Customer_0080,Traders & Buyers,460,Platinum,Payments,BT,CAPPAYBTSTDB1,TDB,CHG0080,EUR,Fixed flat,1.0738,1.0858,162.14,151,911.66,849,200K-600K,100K-500K,0.7375,0.7955,0.8946,0.8296,0.4955,0.7008
JP,CRM000081,Customer_0081,Traders & Buyers,460,Silver,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0081,JPY,Fixed flat,0.3794,0.3863,813.43,2144,18378.89,48442,10K-200K,2M-5M,0.7375,0.7955,0.5526,0.8296,0.7187,0.8358
DE,CRM000082,Customer_0082,Global Corporates,500,Portfolio,Clearing,Clearing,CAPCLECLEPRMB2,PRM,CHG0082,JPY,flat absolute,1.9477,1.9728,9919.64,5093,1135.51,583,600K-2M,100K-500K,0.5434,0.5707,0.6061,0.6721,0.6108,0.5602
AU,CRM000083,Customer_0083,Middle Market,300,Platinum,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0083,EUR,flat absolute,0.4248,0.431,11622.53,27360,2268.43,5340,600K-2M,100K-500K,0.4671,0.3234,0.8946,0.7644,0.4955,0.6378
DE,CRM000084,Customer_0084,Global Corporates,500,Silver,Payments,Pay,CAPPAYPAYSTDB1,STD,CHG0084,USD,flat absolute,0.4536,0.4563,621.43,1370,14809.59,32649,>2M,100K-500K,0.5434,0.3234,0.684,0.6721,0.7187,0.6196
DE,CRM000085,Customer_0085,Global Corporates,500,Portfolio,Collections,CO,CAPCOLCOPRMB2,RMB,CHG0085,USD,flat absolute,0.5179,0.5215,458.86,886,4362.27,8423,200K-600K,100K-500K,0.5434,0.7955,0.5063,0.6721,0.6108,0.6535
AU,CRM000086,Customer_0086,Middle Market,300,Portfolio,Payments,ACH,CAPPAYACHPRMB2,PRM,CHG0086,EUR,Fixed flat,0.7128,0.7235,1000.77,1404,3318.8,4656,200K-600K,>5M,0.4671,0.3234,0.684,0.7644,0.6108,0.7601
JP,CRM000087,Customer_0087,Traders & Buyers,460,Portfolio,Payments,ACH,CAPPAYACHVIPB3,VIP,CHG0087,USD,flat absolute,1.6651,1.653,19593.23,11767,1561.86,938,>2M,100K-500K,0.7375,0.3234,0.684,0.8296,0.6108,0.4564
JP,CRM000088,Customer_0088,Traders & Buyers,460,Platinum,Collections,CO,CAPCOLCOPRMB2,RMB,CHG0088,SGD,flat absolute,1.3982,1.3939,6824.61,4881,735.45,526,600K-2M,500K-2M,0.7375,0.6343,0.5526,0.8296,0.4955,0.7856
AU,CRM000089,Customer_0089,Middle Market,300,Portfolio,Clearing,CASH,CAPCLECASVIPB3,VIP,CHG0089,JPY,flat absolute,0.9094,0.9062,1224.05,1346,9730.58,10700,>2M,100K-500K,0.4671,0.6343,0.5526,0.7644,0.6108,0.4323
DE,CRM000090,Customer_0090,Global Corporates,500,Portfolio,Clearing,CASH,CAPCLECASSTDB1,STD,CHG0090,SGD,flat absolute,0.5023,0.5049,3233.31,6437,15063.47,29989,200K-600K,100K-500K,0.5434,0.6654,0.5063,0.6721,0.6108,0.4207
DE,CRM000091,Customer_0091,Global Corporates,500,Gold,Clearing,Clearing,CAPCLECLESTDB1,STD,CHG0091,JPY,flat absolute,0.8349,0.8336,2878.74,3448,1643.92,1969,600K-2M,100K-500K,0.5434,0.6654,0.684,0.6721,0.3883,0.8034
JP,CRM000092,Customer_0092,Traders & Buyers,460,Gold,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0092,EUR,flat absolute,0.8584,0.8485,10940.31,12745,634.36,739,10K-200K,>5M,0.7375,0.7955,0.684,0.8296,0.3883,0.4105
JP,CRM000093,Customer_0093,Banks,600,Portfolio,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0093,SGD,Fixed flat,12.001,12.1153,12469.04,1039,1392.12,116,200K-600K,2M-5M,0.7375,0.5707,0.5063,0.5304,0.6108,0.4587
JP,CRM000094,Customer_0094,Banks,600,Silver,Clearing,Clearing,CAPCLECLEELTB4,ELT,CHG0094,JPY,flat absolute,2.4764,2.5021,4514.48,1823,2283.24,922,200K-600K,500K-2M,0.7375,0.7955,0.5063,0.5304,0.7187,0.4596
JP,CRM000095,Customer_0095,Banks,600,Silver,Collections,CO,CAPCOLCOSTDB1,TDB,CHG0095,EUR,flat absolute,0.7317,0.7386,1210.96,1655,2271.93,3105,>2M,>5M,0.7375,0.3234,0.6061,0.5304,0.7187,0.6588
DE,CRM000096,Customer_0096,Global Corporates,500,Portfolio,Collections,CASH,CAPCOLCASPRMB2,PRM,CHG0096,SGD,Fixed flat,0.4736,0.4741,156.76,331,16177.23,34158,0-10K,500K-2M,0.5434,0.5707,0.5063,0.6721,0.6108,0.8231
DE,CRM000097,Customer_0097,Global Corporates,500,Gold,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0097,USD,Fixed flat,0.348,0.345,1617.16,4647,3251.36,9343,>2M,>5M,0.5434,0.7955,0.6061,0.6721,0.3883,0.7744
JP,CRM000098,Customer_0098,Traders & Buyers,460,Platinum,Clearing,Clearing,CAPCLECLESTDB1,STD,CHG0098,USD,flat absolute,0.7157,0.7243,3155.52,4409,3993.61,5580,0-10K,2M-5M,0.7375,0.7955,0.8946,0.8296,0.4955,0.5987
JP,CRM000099,Customer_0099,Banks,600,Platinum,Payments,ACH,CAPPAYACHPRMB2,PRM,CHG0099,SGD,Fixed flat,0.7679,0.7646,2306.0,3003,1596.46,2079,>2M,0-100K,0.7375,0.5707,0.6061,0.5304,0.4955,0.7299
